networth_pa_new,ubi_mo,white_share,black_share,total_share,d_stat_cand
100.0,0,0.09148544206088445,0.2213752970081655,0.11648303111087221,0.12988985494728106
200.0,0,0.09359275212193488,0.23348580175034506,0.12142031585556007,0.13989304962841018
300.0,0,0.09609115019901335,0.24680674293134972,0.12570793282475484,0.15071559273233637
400.0,0,0.09720229966219897,0.2574547230088635,0.12864922034305443,0.16025242334666456
500.0,0,0.0992183988358129,0.26139883204251596,0.13137701629178672,0.16218043320670306
600.0,0,0.10155170255347983,0.27276253585869614,0.13620561194443154,0.1712108333052163
700.0,0,0.10355386215413188,0.2737570002226922,0.13772265040316517,0.17020313806856036
800.0,0,0.10494955728267259,0.2811867110447787,0.14071787976396943,0.17623715376210614
900.0,0,0.10650185874507558,0.2889746178621083,0.14338532547811927,0.18247275911703276
1000.0,0,0.1079143987770448,0.29208049419298254,0.14502866990044574,0.18416609541593776
1000.0,0,0.1079143987770448,0.29208049419298254,0.14502866990044574,0.18416609541593776
1100.0,0,0.10901215453520399,0.2965942172531304,0.1474000506209458,0.1875820627179264
1200.0,0,0.1100868704734645,0.2982314660613311,0.14903336791750582,0.18814459558786661
1300.0,0,0.11091857274605926,0.29927482171892295,0.1502588683333249,0.18835624897286368
1400.0,0,0.1111859325754351,0.3016795789149787,0.15135487554715618,0.1904936463395436
1500.0,0,0.11158203308677975,0.3046005068385868,0.15236840860804843,0.19301847375180706
1600.0,0,0.11297069606926663,0.3081618523926087,0.15443002253526092,0.19519115632334205
1700.0,0,0.11406124330333693,0.30994755666089435,0.15573926723992787,0.1958863133575574
1800.0,0,0.11484599754783743,0.31178666945442546,0.15683351447318947,0.19694067190658804
1900.0,0,0.11531517803843395,0.31761858966947776,0.1586641132289815,0.20230341163104382
2000.0,0,0.11588052073679592,0.3215134500144539,0.15985536444108767,0.205632929277658
2100.0,0,0.11657789425208788,0.32572457472947186,0.16137512489016792,0.209146680477384
2200.0,0,0.11740245497978048,0.3272512094787196,0.16247434312094433,0.20984875449893914
2300.0,0,0.11812409931637789,0.3291173551494883,0.16357215852320556,0.2109932558331104
2400.0,0,0.11930975114164746,0.32999152681801897,0.16488058812150283,0.2106817756763715
2500.0,0,0.1198594037352588,0.33214794397869757,0.16575586496283623,0.21228854024343877
2600.0,0,0.12176475840425026,0.33627427461906584,0.16794680065524162,0.21450951621481557
2700.0,0,0.1224040328035777,0.338375152574104,0.1691324869424926,0.2159711197705263
2800.0,0,0.12301213772151363,0.3388598887640667,0.17027905239306018,0.21584775104255305
2900.0,0,0.12419095256828333,0.3403511252179697,0.17191899377074968,0.21616017264968634
3000.0,0,0.12542185827893462,0.3409064130129154,0.17357065875237226,0.2154845547339808
3100.0,0,0.12843873304494244,0.3427419794984123,0.17624695813630023,0.21430324645346985
3200.0,0,0.12896460701479198,0.3452233706041814,0.17745278117130925,0.21625876358938942
3300.0,0,0.1307365718291277,0.34704707943136853,0.1794213218854497,0.21631050760224083
3400.0,0,0.132275611821564,0.3488906329458297,0.18127354482487648,0.21661502112426573
3500.0,0,0.1331619133078513,0.35228629145333157,0.18256974356669273,0.21912437814548028
3600.0,0,0.13451774869890396,0.35351604137454185,0.1840590645449172,0.2189982926756379
3700.0,0,0.1359198565606869,0.35595104757272733,0.18573694918572956,0.22003119101204044
3800.0,0,0.13687754143130215,0.3577369590782721,0.18734786950498517,0.22085941764696992
3900.0,0,0.1376531314446587,0.35854225146826096,0.18846147706934588,0.22088912002360225
4000.0,0,0.13828699673637546,0.36121746118409875,0.18946043601424828,0.2229304644477233
4100.0,0,0.1398161604449277,0.36384987567601773,0.19134025640885027,0.22403371523109003
4200.0,0,0.14095420939726652,0.3654858368088999,0.19277173709867576,0.22453162741163338
4300.0,0,0.14127331895885686,0.36706575904306676,0.1935907726054013,0.2257924400842099
4400.0,0,0.14279873280020278,0.3697145458018251,0.19565904367473944,0.22691581300162234
4500.0,0,0.14361515233162617,0.3720488710144925,0.19678538683150143,0.22843371868286635
4600.0,0,0.14424829685337462,0.37294470941176855,0.19774907970229877,0.22869641255839393
4700.0,0,0.1452103940098082,0.3731908796631348,0.19896971700797217,0.2279804856533266
4800.0,0,0.14717670851471007,0.37545593257961457,0.20082244250439676,0.2282792240649045
4900.0,0,0.1485708593090748,0.37803554197896827,0.20237364417522485,0.22946468266989348
5000.0,0,0.14940329767553848,0.3785587815124332,0.20350736748005643,0.22915548383689474
5100.0,0,0.1505395302426568,0.3807314224587367,0.20487634824587211,0.2301918922160799
5200.0,0,0.1515844985178748,0.38215766813610286,0.2070267180950592,0.23057316961822805
5300.0,0,0.15286714565896667,0.3855435632016255,0.20925296422325954,0.23267641754265886
5400.0,0,0.15469898106045527,0.3873482037509704,0.2114524954264093,0.23264922269051513
5500.0,0,0.15554507517117724,0.391069940843802,0.21313942708006353,0.23552486567262473
5600.0,0,0.15636995488223215,0.3921672850251351,0.21397941549657365,0.23579733014290294
5700.0,0,0.1572276781395513,0.39283561550228524,0.21474704217325113,0.23560793736273394
5800.0,0,0.15841136488531524,0.39305441642111544,0.21620819050931134,0.2346430515358002
5900.0,0,0.1596426912477431,0.3943836748008481,0.21772224687785957,0.23474098355310502
6000.0,0,0.16010789546039492,0.39596383077397074,0.2186842974040711,0.23585593531357582
6100.0,0,0.16194001686606815,0.3976042739607898,0.22034467236074204,0.23566425709472164
6200.0,0,0.16274721725441074,0.3998424721824844,0.2215296580940926,0.23709525492807368
6300.0,0,0.16398886382813713,0.4008571375916633,0.22299505289884583,0.23686827376352618
