networth_pa_new,ubi_mo,white_share,black_share,total_share,d_stat_cand
10000.0,0,0.18974760941654023,0.45288263145117047,0.2601911227906793,0.26313502203463024
10500.0,0,0.19168465802390622,0.4546466613263659,0.26305418890799775,0.26296200330245967
11000.0,0,0.19479425577544182,0.45733944976705954,0.26594053063749173,0.2625451939916177
11500.0,0,0.19738568455065547,0.45977447806442406,0.268874713235934,0.2623887935137686
12000.0,0,0.19869333443885107,0.46116444298322157,0.27063127281288635,0.2624711085443705
12500.0,0,0.20066604716022457,0.46502384650877354,0.2735026675278235,0.26435779934854897
13000.0,0,0.2035852108538826,0.4675354330888631,0.27673133807595884,0.2639502222349805
13500.0,0,0.20582033480758144,0.47279633196874477,0.27970222864945693,0.2669759971611633
14000.0,0,0.2083107969374845,0.4770706525219926,0.28237478182010484,0.2687598555845081
14500.0,0,0.20960028463163755,0.48277672697458884,0.28498157920089157,0.2731764423429513
15000.0,0,0.21202512173234897,0.48749679040901517,0.28760862886649213,0.27547166867666617
15500.0,0,0.2141982960539452,0.49040970670056755,0.2901774635443899,0.27621141064662236
16000.0,0,0.21587446275930172,0.49397441202192466,0.29209527375148914,0.27809994926262294
16500.0,0,0.21787628909743045,0.4967457400644492,0.2941345790651108,0.27886945096701876
17000.0,0,0.22034910143743616,0.49812613012656803,0.29647611231894183,0.2777770286891319
17500.0,0,0.22293690103402794,0.49908732711372433,0.29867116000563215,0.2761504260796964
18000.0,0,0.22574530868943335,0.5009417547157307,0.3014289647094834,0.27519644602629734
18500.0,0,0.22732847153563812,0.5018223909909005,0.303274030496282,0.2744939194552624
19000.0,0,0.22884780650289302,0.5023767848010428,0.30477763528911767,0.2735289782981497
19500.0,0,0.23105946700436086,0.5054518590687581,0.3074270593858812,0.27439239206439725
20000.0,0,0.23301597054139814,0.5113589911629274,0.31031925916894604,0.27834302062152927
20500.0,0,0.23500458102148758,0.5147917124413941,0.3128132791519533,0.2797871314199065
21000.0,0,0.23710616757815786,0.5197218820159962,0.31525059612425155,0.2826157144378384
21500.0,0,0.23985356829625992,0.5219317361432592,0.31746618357240325,0.28207816784699924
22000.0,0,0.2412949788658899,0.5257715397356755,0.31931970704742413,0.28447656086978557
22500.0,0,0.242124843927958,0.5271876348552084,0.3206784988155098,0.2850627909272504
23000.0,0,0.24514927705506576,0.5281435774943458,0.322969006431643,0.2829943004392801
23500.0,0,0.2468879962034625,0.5311216665570565,0.32480565194347005,0.28423367035359404
24000.0,0,0.24725738865407343,0.5318824673880276,0.32547341630262316,0.28462507873395415
24500.0,0,0.24909317623670257,0.5337952581406559,0.32722307653223237,0.2847020819039533
25000.0,0,0.2506987992664673,0.5357972259373308,0.32887896227541874,0.2850984266708635
25500.0,0,0.25295942374603203,0.5371653425622352,0.3310345043276919,0.2842059188162032
26000.0,0,0.2548899918798114,0.5391053767196686,0.3328088064436893,0.28421538483985725
26500.0,0,0.25561653862676714,0.5403621515802378,0.33379625959751946,0.2847456129534707
27000.0,0,0.257644798094175,0.5417721422380751,0.3355824078344414,0.2841273441439001
27500.0,0,0.2590708165973181,0.5460302526117901,0.33790126862106545,0.28695943601447194
28000.0,0,0.2608866141706603,0.5474112096751643,0.3397684148805759,0.28652459550450404
28500.0,0,0.26306691775819135,0.5501325759283072,0.3420689024382281,0.28706565817011587
29000.0,0,0.2645074398206464,0.5545294211745876,0.3442937086047601,0.2900219813539412
29500.0,0,0.26618323392045934,0.5565868909627056,0.34622628875899847,0.2904036570422463
30000.0,0,0.26781951720229147,0.5604209708752943,0.34830047011760124,0.29260145367300283
30500.0,0,0.27051708339813924,0.5637693926936539,0.3515380143230715,0.29325230929551466
31000.0,0,0.27280153761300974,0.5662069226782808,0.35382157020400606,0.29340538506527103
31500.0,0,0.27486521853864293,0.5685660454376589,0.3556250962299731,0.29370082689901594
32000.0,0,0.2760922960114537,0.5703447983699177,0.35692358439828437,0.294252502358464
32500.0,0,0.2784091987846788,0.5731973288228609,0.35935115670408685,0.2947881300381821
33000.0,0,0.2796350210095581,0.5744223817481907,0.3606177547146269,0.2947873607386326
33500.0,0,0.2807328095416675,0.5764229543076307,0.3617773334207993,0.29569014476596317
34000.0,0,0.2820676719990414,0.5791477800913531,0.363365253038107,0.2970801080923117
34500.0,0,0.2840686441136189,0.5828374908895207,0.36580302656542324,0.2987688467759019
35000.0,0,0.2852426972062441,0.5839381384251602,0.36695669442652745,0.29869544121891606
35500.0,0,0.2879578314167036,0.5856463388798844,0.369109873373333,0.29768850746318076
36000.0,0,0.2899688538142149,0.5866584444458905,0.3708577505733193,0.29668959063167566
36500.0,0,0.29120574815678935,0.5883403629802375,0.37244725003063217,0.29713461482344816
37000.0,0,0.2927848432396459,0.5909986545723914,0.3742563649831894,0.29821381133274555
37500.0,0,0.29450664623481815,0.5952760950635094,0.3765725186237458,0.3007694488286913
38000.0,0,0.295514998594492,0.5984490893868916,0.37838091536226226,0.3029340907923996
38500.0,0,0.2966779703157466,0.5994909410118672,0.3794167278813179,0.30281297069612056
39000.0,0,0.2986565428884246,0.6000409299342067,0.3814684919014772,0.3013843870457821
39500.0,0,0.30001949364469116,0.6053866441707784,0.3833853728695027,0.3053671505260872
40000.0,0,0.30097027005175814,0.6104879642521333,0.38496758142591503,0.3095176942003751
40500.0,0,0.30277991395880294,0.6157014990440219,0.3871110822897726,0.312921585085219
41000.0,0,0.30385513004988124,0.6193363937087256,0.38867193301760233,0.3154812636588444
41500.0,0,0.30592431255071056,0.6204096267467386,0.3904623837805374,0.31448531419602804
