index,black_median_networth_pa,white_median_networth_pa,black_mean_networth_pa,white_mean_networth_pa,black_share_above_50k,white_share_above_50k,white_mean_nw_as_pct_of_mean_black,white_median_nw_as_pct_of_median_black,white_share_above_50k_pct_of__black,networth_pa_new,ubi_mo,white_share,black_share,total_share,d_stat_cand
0,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
100,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
200,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
300,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
400,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
500,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
600,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
700,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
800,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
900,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1000,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1100,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1200,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1300,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1400,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1500,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1600,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1700,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1800,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
1900,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
2000,17853.413511596653,115103.2051759025,17853.413511596653,115103.2051759025,0.34168384261341916,0.6666775242964709,6.44712592923126,6.44712592923126,1.9511532040768733,,,,,,
